# Compton profile shell occupancies
#
# Number of electrons in each atomic subshell for which G4EMLOW tabulates a
# Compton profile, in the order the profiles appear in profile-<Z>.dat.
#
# Source: F. Biggs, L. B. Mendelsohn and J. B. Mann, "Hartree-Fock Compton
# profiles for the elements", At. Data Nucl. Data Tables 16, 201-309 (1975),
# as tabulated in the DABAX file ComptonProfiles.dat (#UOCCUP keyword), from
# https://github.com/oasys-kit/DabaxFiles at commit 70ff903 (MIT licence).
# The DABAX profiles are identical to G4EMLOW profile-<Z>.dat to all tabulated
# digits for Z = 1-100, and its #UOCCUP is aligned column-for-column with
# them, so these occupancies refer to the same subshell as each profile.
#
# The occupancies in G4EMLOW shell-doppler.dat cannot be used: they follow the
# ordering of Geant4 G4AtomicShells (subshells sorted by decreasing binding
# energy) rather than the (n, l, j) ordering of the profiles and of the
# binding energies in the same file. For Z = 43 and 59-92 the two orderings
# differ and the occupancy does not belong to the subshell it is paired with.
#
# j0 is the profile value at pz = 0, carried as a fingerprint so that
# make_compton.py can verify each occupancy is still matched to the profile it
# was derived against.
#
#   Z  shell  electrons        j0
   46      2          2         0.0647
   46      3          2         0.0323
   46      4          4         0.0335
   46      5          2          0.154
   46      6          2         0.0919
   46      7          4         0.0943
   46      8          4         0.0642
   46      9          6         0.0647
   46     10          2          0.386
   46     11          2          0.254
   46     12          4          0.261
   46     13          4          0.278
   46     14          6          0.285
   47      1          2         0.0175
   47      2          2         0.0631
   47      3          2         0.0315
   47      4          4         0.0327
   47      5          2          0.149
   47      6          2         0.0891
   47      7          4         0.0915
   47      8          4          0.062
   47      9          6         0.0625
   47     10          2          0.369
   47     11          2          0.242
   47     12          4          0.249
   47     13          4          0.247
   47     14          6          0.251
   47     15          1           1.64
   48      1          2         0.0171
   48      2          2         0.0615
   48      3          2         0.0307
   48      4          4         0.0319
   48      5          2          0.145
   48      6          2         0.0864
   48      7          4         0.0888
   48      8          4           0.06
   48      9          6         0.0605
   48     10          2          0.352
   48     11          2           0.23
   48     12          4          0.237
   48     13          4          0.224
   48     14          6          0.228
   48     15          2           1.45
   49      1          2         0.0167
   49      2          2           0.06
   49      3          2         0.0299
   49      4          4         0.0311
   49      5          2          0.141
   49      6          2         0.0838
   49      7          4         0.0863
   49      8          4         0.0581
   49      9          6         0.0586
   49     10          2          0.336
   49     11          2          0.219
   49     12          4          0.226
   49     13          4          0.206
   49     14          6          0.208
   49     15          2           1.24
   49     16          1          0.962
   50      1          2         0.0163
   50      2          2         0.0586
   50      3          2         0.0292
   50      4          4         0.0304
   50      5          2          0.137
   50      6          2         0.0814
   50      7          4         0.0839
   50      8          4         0.0563
   50      9          6         0.0569
   50     10          2          0.322
   50     11          2          0.209
   50     12          4          0.216
   50     13          4          0.192
   50     14          6          0.193
   50     15          2            1.1
   50     16          2          0.836
   51      1          2         0.0159
   51      2          2         0.0572
   51      3          2         0.0285
   51      4          4         0.0298
   51      5          2          0.133
   51      6          2         0.0791
   51      7          4         0.0816
   51      8          4         0.0546
   51      9          6         0.0552
   51     10          2          0.309
   51     11          2            0.2
   51     12          4          0.207
   51     13          4          0.179
   51     14          6          0.181
   51     15          2              1
   51     16          2          0.737
   51     17          1          0.764
   52      1          2         0.0156
   52      2          2         0.0559
   52      3          2         0.0278
   52      4          4         0.0291
   52      5          2           0.13
   52      6          2         0.0769
   52      7          4         0.0794
   52      8          4          0.053
   52      9          6         0.0536
   52     10          2          0.296
   52     11          2          0.191
   52     12          4          0.198
   52     13          4          0.168
   52     14          6           0.17
   52     15          2           0.92
   52     16          2          0.665
   52     17          2          0.693
   53      1          2         0.0153
   53      2          2         0.0547
   53      3          2         0.0272
   53      4          4         0.0285
   53      5          2          0.126
   53      6          2         0.0748
   53      7          4         0.0774
   53      8          4         0.0515
   53      9          6         0.0521
   53     10          2          0.285
   53     11          2          0.184
   53     12          4           0.19
   53     13          4          0.159
   53     14          6          0.161
   53     15          2          0.853
   53     16          2          0.608
   53     17          3          0.637
   54      1          2         0.0149
   54      2          2         0.0535
   54      3          2         0.0265
   54      4          4         0.0279
   54      5          2          0.123
   54      6          2         0.0729
   54      7          4         0.0754
   54      8          4         0.0501
   54      9          6         0.0507
   54     10          2          0.274
   54     11          2          0.176
   54     12          4          0.182
   54     13          4          0.151
   54     14          6          0.153
   54     15          2          0.797
   54     16          2          0.562
   54     17          4          0.592
   55      1          2         0.0146
   55      2          2         0.0523
   55      3          2         0.0259
   55      4          4         0.0273
   55      5          2           0.12
   55      6          2          0.071
   55      7          4         0.0735
   55      8          4         0.0488
   55      9          6         0.0494
   55     10          2          0.264
   55     11          2           0.17
   55     12          4          0.176
   55     13          4          0.144
   55     14          6          0.145
   55     15          2           0.72
   55     16          2          0.498
   55     17          4          0.522
   55     18          1           2.74
   56      1          2         0.0143
   56      2          2         0.0512
   56      3          2         0.0254
   56      4          4         0.0268
   56      5          2          0.117
   56      6          2         0.0692
   56      7          4         0.0718
   56      8          4         0.0475
   56      9          6         0.0481
   56     10          2          0.255
   56     11          2          0.163
   56     12          4          0.169
   56     13          4          0.137
   56     14          6          0.139
   56     15          2          0.657
   56     16          2          0.452
   56     17          4          0.473
   56     18          2           2.23
   57      1          2          0.014
   57      2          2         0.0501
   57      3          2         0.0248
   57      4          4         0.0263
   57      5          2          0.114
   57      6          2         0.0675
   57      7          4         0.0701
   57      8          4         0.0463
   57      9          6         0.0469
   57     10          2          0.246
   57     11          2          0.158
   57     12          4          0.163
   57     13          4          0.131
   57     14          6          0.133
   57     15          2          0.616
   57     16          2          0.424
   57     17          4           0.44
   57     18          1          0.509
   57     19          2           2.07
   58      1          2         0.0137
   58      2          2          0.049
   58      3          2         0.0243
   58      4          4         0.0257
   58      5          2          0.111
   58      6          2         0.0658
   58      7          4         0.0684
   58      8          4         0.0452
   58      9          6         0.0458
   58     10          2          0.239
   58     11          2          0.153
   58     12          4          0.159
   58     13          4          0.127
   58     14          6          0.129
   58     15          1          0.142
   58     16          2          0.602
   58     17          2          0.414
   58     18          4          0.431
   58     19          1          0.498
   58     20          2           2.05
   59      1          2         0.0135
   59      2          2          0.048
   59      3          2         0.0238
   59      4          4         0.0252
   59      5          2          0.109
   59      6          2         0.0643
   59      7          4         0.0669
   59      8          4         0.0441
   59      9          6         0.0447
   59     10          2          0.234
   59     11          2           0.15
   59     12          4          0.156
   59     13          4          0.125
   59     14          6          0.126
   59     15          3          0.149
   59     16          2          0.609
   59     17          2          0.417
   59     18          4          0.442
   59     19          2           2.15
   60      1          2         0.0132
   60      2          2          0.047
   60      3          2         0.0233
   60      4          4         0.0248
   60      5          2          0.106
   60      6          2         0.0628
   60      7          4         0.0654
   60      8          4         0.0431
   60      9          6         0.0436
   60     10          2          0.228
   60     11          2          0.146
   60     12          4          0.152
   60     13          4          0.121
   60     14          6          0.123
   60     15          4          0.141
   60     16          2          0.597
   60     17          2          0.407
   60     18          4          0.434
   60     19          2           2.13
   61      1          2         0.0129
   61      2          2         0.0461
   61      3          2         0.0228
   61      4          4         0.0243
   61      5          2          0.104
   61      6          2         0.0613
   61      7          4          0.064
   61      8          4         0.0421
   61      9          6         0.0426
   61     10          2          0.223
   61     11          2          0.142
   61     12          4          0.148
   61     13          4          0.118
   61     14          6          0.119
   61     15          5          0.134
   61     16          2          0.586
   61     17          2          0.399
   61     18          4          0.427
   61     19          2           2.11
   62      1          2         0.0127
   62      2          2         0.0452
   62      3          2         0.0223
   62      4          4         0.0239
   62      5          2          0.101
   62      6          2         0.0599
   62      7          4         0.0626
   62      8          4         0.0412
   62      9          6         0.0417
   62     10          2          0.217
   62     11          2          0.139
   62     12          4          0.145
   62     13          4          0.115
   62     14          6          0.116
   62     15          6          0.129
   62     16          2          0.575
   62     17          2          0.391
   62     18          4           0.42
   62     19          2           2.09
   63      1          2         0.0124
   63      2          2         0.0443
   63      3          2         0.0219
   63      4          4         0.0234
   63      5          2         0.0992
   63      6          2         0.0586
   63      7          4         0.0613
   63      8          4         0.0403
   63      9          6         0.0408
   63     10          2          0.212
   63     11          2          0.135
   63     12          4          0.142
   63     13          4          0.112
   63     14          6          0.114
   63     15          6          0.124
   63     16          1           0.13
   63     17          2          0.564
   63     18          2          0.384
   63     19          4          0.413
   63     20          2           2.07
   64      1          2         0.0122
   64      2          2         0.0434
   64      3          2         0.0214
   64      4          4          0.023
   64      5          2         0.0971
   64      6          2         0.0573
   64      7          4         0.0601
   64      8          4         0.0394
   64      9          6         0.0399
   64     10          2          0.207
   64     11          2          0.132
   64     12          4          0.138
   64     13          4          0.109
   64     14          6           0.11
   64     15          6          0.113
   64     16          1          0.116
   64     17          2          0.538
   64     18          2          0.366
   64     19          4          0.391
   64     20          1          0.468
   64     21          2           1.93
   65      1          2          0.012
   65      2          2         0.0426
   65      3          2          0.021
   65      4          4         0.0226
   65      5          2          0.095
   65      6          2         0.0561
   65      7          4         0.0589
   65      8          4         0.0386
   65      9          6         0.0391
   65     10          2          0.203
   65     11          2          0.129
   65     12          4          0.136
   65     13          4          0.107
   65     14          6          0.108
   65     15          6          0.116
   65     16          3          0.121
   65     17          2          0.544
   65     18          2           0.37
   65     19          4            0.4
   65     20          2           2.03
   66      1          2         0.0117
   66      2          2         0.0418
   66      3          2         0.0206
   66      4          4         0.0222
   66      5          2         0.0931
   66      6          2         0.0549
   66      7          4         0.0577
   66      8          4         0.0378
   66      9          6         0.0384
   66     10          2          0.199
   66     11          2          0.126
   66     12          4          0.133
   66     13          4          0.104
   66     14          6          0.106
   66     15          6          0.113
   66     16          4          0.117
   66     17          2          0.535
   66     18          2          0.364
   66     19          4          0.394
   66     20          2           2.01
   67      1          2         0.0115
   67      2          2          0.041
   67      3          2         0.0202
   67      4          4         0.0219
   67      5          2         0.0912
   67      6          2         0.0537
   67      7          4         0.0566
   67      8          4          0.037
   67      9          6         0.0376
   67     10          2          0.194
   67     11          2          0.123
   67     12          4           0.13
   67     13          4          0.102
   67     14          6          0.104
   67     15          6           0.11
   67     16          5          0.114
   67     17          2          0.526
   67     18          2          0.358
   67     19          4          0.388
   67     20          2           1.99
   68      1          2         0.0113
   68      2          2         0.0402
   68      3          2         0.0198
   68      4          4         0.0215
   68      5          2         0.0893
   68      6          2         0.0526
   68      7          4         0.0556
   68      8          4         0.0362
   68      9          6         0.0369
   68     10          2           0.19
   68     11          2          0.121
   68     12          4          0.128
   68     13          4         0.0996
   68     14          6          0.101
   68     15          6          0.107
   68     16          6           0.11
   68     17          2          0.517
   68     18          2          0.353
   68     19          4          0.383
   68     20          2           1.97
   69      1          2         0.0111
   69      2          2         0.0395
   69      3          2         0.0194
   69      4          4         0.0211
   69      5          2         0.0876
   69      6          2         0.0516
   69      7          4         0.0545
   69      8          4         0.0355
   69      9          6         0.0362
   69     10          2          0.186
   69     11          2          0.118
   69     12          4          0.125
   69     13          4         0.0975
   69     14          6         0.0994
   69     15          6          0.104
   69     16          7          0.107
   69     17          2          0.509
   69     18          2          0.347
   69     19          4          0.378
   69     20          2           1.95
   70      1          2         0.0109
   70      2          2         0.0388
   70      3          2          0.019
   70      4          4         0.0208
   70      5          2         0.0859
   70      6          2         0.0505
   70      7          4         0.0535
   70      8          4         0.0348
   70      9          6         0.0355
   70     10          2          0.183
   70     11          2          0.116
   70     12          4          0.123
   70     13          4         0.0954
   70     14          6         0.0974
   70     15          6          0.102
   70     16          8          0.105
   70     17          2          0.501
   70     18          2          0.342
   70     19          4          0.373
   70     20          2           1.94
   71      1          2         0.0107
   71      2          2         0.0381
   71      3          2         0.0187
   71      4          4         0.0205
   71      5          2         0.0842
   71      6          2         0.0495
   71      7          4         0.0526
   71      8          4         0.0342
   71      9          6         0.0349
   71     10          2          0.179
   71     11          2          0.113
   71     12          4           0.12
   71     13          4         0.0931
   71     14          6         0.0951
   71     15          6         0.0953
   71     16          8         0.0967
   71     17          2           0.48
   71     18          2          0.327
   71     19          4          0.354
   71     20          1          0.489
   71     21          2           1.77
   72      1          2         0.0105
   72      2          2         0.0374
   72      3          2         0.0183
   72      4          4         0.0201
   72      5          2         0.0826
   72      6          2         0.0486
   72      7          4         0.0517
   72      8          4         0.0336
   72      9          6         0.0343
   72     10          2          0.175
   72     11          2           0.11
   72     12          4          0.118
   72     13          4         0.0908
   72     14          6         0.0927
   72     15          6         0.0898
   72     16          8         0.0907
   72     17          2          0.461
   72     18          2          0.314
   72     19          4          0.338
   72     20          2          0.423
   72     21          2           1.68
   73      1          2         0.0103
   73      2          2         0.0367
   73      3          2          0.018
   73      4          4         0.0198
   73      5          2         0.0811
   73      6          2         0.0476
   73      7          4         0.0508
   73      8          4          0.033
   73      9          6         0.0337
   73     10          2          0.171
   73     11          2          0.108
   73     12          4          0.115
   73     13          4         0.0885
   73     14          6         0.0905
   73     15          6         0.0853
   73     16          8         0.0858
   73     17          2          0.443
   73     18          2          0.302
   73     19          4          0.324
   73     20          3          0.382
   73     21          2           1.61
   74      1          2         0.0101
   74      2          2         0.0361
   74      3          2         0.0177
   74      4          4         0.0195
   74      5          2         0.0796
   74      6          2         0.0467
   74      7          4         0.0499
   74      8          4         0.0324
   74      9          6         0.0331
   74     10          2          0.167
   74     11          2          0.105
   74     12          4          0.113
   74     13          4         0.0863
   74     14          6         0.0883
   74     15          6         0.0813
   74     16          8         0.0817
   74     17          2          0.427
   74     18          2          0.291
   74     19          4          0.311
   74     20          4          0.352
   74     21          2           1.55
   75      1          2        0.00997
   75      2          2         0.0354
